test_name                                                               Iter_num  testStaus  NumErrors  SimTime[ns]    seed   
pixie_fmu_lodiv2sym_test.cfg                                               3         PASS        0       4790277   1840580802
pixie_fw_fmu_test_all_gen3.cfg                                             3         PASS        0       47094165  923111030 
pixie_fw_fmu_test_fmu_b2b.cfg                                              3         PASS        0       4433833   239592871 
pixie_fw_fmu_external_test.cfg                                             3         PASS        0       6537350   649666324 
pixie_fw_fmu_external_b2b_test.cfg                                         3         PASS        0       14919268  1836992591
pixie_fw_fmu_external_two_test.cfg                                         3         PASS        0       4036006   1771305332
pixie_fw_fmu_meas_zero_test.cfg                                            3         PASS        0       4093135   282330670 
pixie_fw_fmu_test_fmu_rdi.cfg                                              3         PASS        0       3128828   229732393 
pixie_fw_radio_test_raw.cfg                                                3         PASS        0       4986077   1475555432
pixie_fw_radio_test_raw_w.cfg                                              3         PASS        0       8088308   1822004897
pixie_fw_radio_test_adv.cfg                                                3         PASS        0       5133227   727760194 
pixie_e0_pgx_b2b_test.cfg                                                  3         PASS        0       5758895   1467588277
pixie_pgx_multiple_random_packets_and_channels_test.cfg                    3         PASS        0       2005824   537928513 
pixie_pgx_cw_test.cfg                                                      3         PASS        0       2031348   1613329004
pixie_pgx_ibeacon_packet_test.cfg                                          3         PASS        0       1301701   1033982425
pixie_pgx_raw_packet_test.cfg                                              3         PASS        0       1514375   464052010 
pixie_pgx_raw_packet_2preamble_test.cfg                                    3         PASS        0       1892012   1081157394
pixie_fw_radio_test_adv_2preamble.cfg                                      3         PASS        0       4212665   1350773674
pixie_pgx_raw_packet_max_test.cfg                                          3         PASS        0       2048304   2036371933
pixie_pgx_wiliot_srvs_id_packet_test.cfg                                   3         PASS        0       1929286   1624274910
pixie_pgx_wiliot_packet_test.cfg                                           3         PASS        0       1751674   1128912451
pixie_pgx_eddystone_uid_packet_test.cfg                                    3         PASS        0       2186102   1926094108
pixie_pgx_eddystone_url_packet_test.cfg                                    3         PASS        0       1693031   2147246356
pixie_fw_func_test_frc_access.cfg                                          3         PASS        0       3152578   1752545127
pixie_fw_rtc_event_test.cfg                                                3         PASS        0      113025010  806236826 
pixie_e4_active_swdt_test.cfg                                              2         FAIL        81     328812623  1745907040
pixie_e4_swdt_test.cfg                                                     3         PASS        0      320274366  1494128990
pixie_e4_wu_swdt_test.cfg                                                  3         PASS        0      653554290  1584078443
upf/pixie_fw_dev_oper_test_first_boot_real_timing_upf.cfg                  1         PASS        0      369752161  1882280710
e0_fsm/pixie_fw_dev_oper_test_e4_fsm_real_timing.cfg                       0         FAIL        2      8434178268     0     
pixie_e0_basic_rtc_measure_test.cfg                                        1         PASS        0      365826964  771929713 
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_0.cfg          0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_1.cfg          0         PASS        0       1780231       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_2.cfg          0         PASS        0       1770729       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_3.cfg          0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_4.cfg          0         PASS        0       1780231       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_5.cfg          0         PASS        0       1761227       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_6.cfg          0         PASS        0       1770729       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_7.cfg          0         PASS        0       1761227       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_8.cfg          0         PASS        0       1761227       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_9.cfg          0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_10.cfg         0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_11.cfg         0         PASS        0       1780231       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_12.cfg         0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_13.cfg         0         PASS        0       1761227       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_14.cfg         0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_15.cfg         0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_16.cfg         0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_17.cfg         0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_18.cfg         0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_19.cfg         0         PASS        0       1742223       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_20.cfg         0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_21.cfg         0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_22.cfg         0         PASS        0       1770729       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_23.cfg         0         PASS        0       1761227       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_24.cfg         0         PASS        0       1742223       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_25.cfg         0         PASS        0       1770729       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_26.cfg         0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_27.cfg         0         PASS        0       1761227       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_28.cfg         0         PASS        0       1751725       0     
fll/e2_phase10/pixie_fll_from_file_test_E2_phase10_sym_test_29.cfg         0         PASS        0       1770729       0     
